fips,state,densityMi,pop2022,pop2021,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,prisonPop2020,prisonPop2019,prisonPop2020Male,prisonPop2019Male,prisonPop2020Female,prisonPop2019Female,prisonPopChange,prisonPopChangePerc,prisonPopChangeMale,prisonPopChangePercMale,prisonPopChangeFemale,prisonPopChangePercFemale
48,Texas,114.63179,29945493,29545499,29145505,28745507,25145561,0.01354,399994,0.19089,135906,158429,125547,144787,10359,13642,-22523,-0.142164629,-19240,-0.132884858,-3283,-0.240653863
6,California,256.74242,39995077,39766650,39538223,39309799,37253956,0.00574,228427,0.07358,97328,122687,93823,117119,3505,5568,-25359,-0.206696716,-23296,-0.198908802,-2063,-0.370510057
12,Florida,411.85199,22085563,21811875,21538187,21264502,18801310,0.01255,273688,0.17468,81027,96009,76012,89381,5015,6628,-14982,-0.156047871,-13369,-0.149573176,-1613,-0.243361497
13,Georgia,189.81378,10916760,10814334,10711908,10609487,9687653,0.00947,102426,0.12687,47141,54816,44041,50798,3100,4018,-7675,-0.140013865,-6757,-0.133017048,-918,-0.228471877
39,Ohio,290.05741,11852036,11825742,11799448,11773150,11536504,0.00222,26294,0.02735,45036,50338,41408,46072,3628,4266,-5302,-0.105327983,-4664,-0.101232853,-638,-0.149554618
42,Pennsylvania,291.95101,13062764,13032732,13002700,12972667,12702379,0.0023,30032,0.02837,39357,45702,37122,42886,2235,2816,-6345,-0.138834187,-5764,-0.134402835,-581,-0.206321023
4,Arizona,64.29387,7303398,7227450,7151502,7075549,6392017,0.01051,75948,0.14258,37731,42441,34076,38035,3655,4406,-4710,-0.110977592,-3959,-0.10408834,-751,-0.170449387
36,New York,432.15802,20365879,20283564,20201249,20118937,19378102,0.00406,82315,0.05097,34128,43500,32837,41572,1291,1928,-9372,-0.215448276,-8735,-0.210117387,-637,-0.330394191
26,Michigan,178.92197,10116069,10096700,10077331,10057961,9883640,0.00192,19369,0.02352,33617,38053,31913,36024,1704,2029,-4436,-0.116574252,-4111,-0.114118366,-325,-0.160177427
51,Virginia,221.76417,8757467,8694430,8631393,8568357,8001024,0.00725,63037,0.09454,31838,36091,29476,33090,2362,3001,-4253,-0.117841013,-3614,-0.109217286,-639,-0.212929024
17,Illinois,230.71172,12808884,12810696,12812508,12814324,12830632,-0.00014,-1812,-0.0017,29729,38259,28311,35995,1418,2264,-8530,-0.222954076,-7684,-0.213474094,-846,-0.373674912
37,North Carolina,218.44107,10620168,10529778,10439388,10348993,9535483,0.00858,90390,0.11375,29461,34079,27354,31398,2107,2681,-4618,-0.135508671,-4044,-0.128798013,-574,-0.214099217
22,Louisiana,108.38425,4682633,4670195,4657757,4645314,4533372,0.00266,12438,0.03292,26964,31609,25773,29920,1191,1689,-4645,-0.146951818,-4147,-0.138602941,-498,-0.294849023
1,Alabama,100.17153,5073187,5048733,5024279,4999822,4779736,0.00484,24454,0.06139,25328,28304,23166,25555,2162,2749,-2976,-0.105144149,-2389,-0.093484641,-587,-0.213532194
18,Indiana,191.08675,6845874,6815701,6785528,6755359,6483802,0.00443,30173,0.05584,23944,27180,21735,24576,2209,2604,-3236,-0.119058131,-2841,-0.115600586,-395,-0.151689708
29,Missouri,90.01936,6188111,6171512,6154913,6138318,5988927,0.00269,16599,0.03326,23062,26044,21167,23643,1895,2401,-2982,-0.114498541,-2476,-0.104724443,-506,-0.210745523
